# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    5.045    0.607    1.213    1.382    0.810    5.550     14.100     24.080     15.000     21.130
    5.769    0.434    0.808    4.881    0.479    2.134     14.250      4.240     15.300      3.980
    6.167    0.344    0.230    5.784    0.293    0.324     14.700      7.450     14.850      8.920
    5.784    0.293    0.324    5.328    0.887    1.095     14.700      7.450     14.850      6.150
    5.784    0.293    0.324    4.881    0.479    2.134     14.850      6.150     15.300      5.540
    5.784    0.293    0.324    5.800    0.530    0.687     14.850      8.920     15.300      9.010
    2.880    0.578    2.869    5.045    0.607    1.213     15.000     21.130     18.000     18.880
    5.769    0.434    0.808    5.734    1.149    0.290     15.300      3.980     19.200      2.250
    5.734    1.149    0.290    4.881    0.479    2.134     15.300      3.980     15.300      5.540
    5.734    1.149    0.290    5.784    0.293    0.324     15.300      5.540     18.900      6.410
    5.800    0.530    0.687    1.624    0.200    4.683     15.300      9.010     15.450     11.000
    1.624    0.200    4.683    5.784    0.293    0.324     15.300      9.010     18.150      9.790
    1.624    0.200    4.683    3.933    0.727    2.321     15.450     11.000     15.600     11.090
